Device,Algorithm,Type,Operation,Iteration,Time,MemoryKB,CPU
Raspberry Pi,BIKE-L1,PQC,Decapsulation,32,0.042164,6392,99%
Raspberry Pi,Classic-McEliece,PQC,KeyGen,32,0.181736,6392,99%
Raspberry Pi,Classic-McEliece,PQC,Encapsulation,32,0.000338,6392,99%
Raspberry Pi,Classic-McEliece,PQC,Decapsulation,32,0.066527,6392,99%
Raspberry Pi,Kyber-768,PQC,KeyGen,33,0.007881,6376,99%
Raspberry Pi,Kyber-768,PQC,Encapsulation,33,0.000166,6376,99%
Raspberry Pi,Kyber-768,PQC,Decapsulation,33,0.000130,6376,99%
Raspberry Pi,BIKE-L1,PQC,KeyGen,33,0.077100,6376,99%
Raspberry Pi,BIKE-L1,PQC,Encapsulation,33,0.004121,6376,99%
Raspberry Pi,BIKE-L1,PQC,Decapsulation,33,0.053988,6376,99%
Raspberry Pi,Classic-McEliece,PQC,KeyGen,33,0.181821,6376,99%
Raspberry Pi,Classic-McEliece,PQC,Encapsulation,33,0.000426,6376,99%
Raspberry Pi,Classic-McEliece,PQC,Decapsulation,33,0.066528,6376,99%
Raspberry Pi,Kyber-768,PQC,KeyGen,34,0.005377,6392,99%
Raspberry Pi,Kyber-768,PQC,Encapsulation,34,0.000115,6392,99%
Raspberry Pi,Kyber-768,PQC,Decapsulation,34,0.000089,6392,99%
Raspberry Pi,BIKE-L1,PQC,KeyGen,34,0.051457,6392,99%
Raspberry Pi,BIKE-L1,PQC,Encapsulation,34,0.002762,6392,99%
Raspberry Pi,BIKE-L1,PQC,Decapsulation,34,0.042331,6392,99%
Raspberry Pi,Classic-McEliece,PQC,KeyGen,34,0.268238,6392,99%
Raspberry Pi,Classic-McEliece,PQC,Encapsulation,34,0.000366,6392,99%
Raspberry Pi,Classic-McEliece,PQC,Decapsulation,34,0.066563,6392,99%
Raspberry Pi,Kyber-768,PQC,KeyGen,35,0.005384,6392,99%
Raspberry Pi,Kyber-768,PQC,Encapsulation,35,0.000110,6392,99%
Raspberry Pi,Kyber-768,PQC,Decapsulation,35,0.000089,6392,99%
Raspberry Pi,BIKE-L1,PQC,KeyGen,35,0.051549,6392,99%
Raspberry Pi,BIKE-L1,PQC,Encapsulation,35,0.002751,6392,99%
Raspberry Pi,BIKE-L1,PQC,Decapsulation,35,0.042828,6392,99%
Raspberry Pi,Classic-McEliece,PQC,KeyGen,35,0.355210,6392,99%
Raspberry Pi,Classic-McEliece,PQC,Encapsulation,35,0.000317,6392,99%
Raspberry Pi,Classic-McEliece,PQC,Decapsulation,35,0.066572,6392,99%
Raspberry Pi,Kyber-768,PQC,KeyGen,36,0.005367,6392,100%
Raspberry Pi,Kyber-768,PQC,Encapsulation,36,0.000109,6392,100%
Raspberry Pi,Kyber-768,PQC,Decapsulation,36,0.000097,6392,100%
Raspberry Pi,BIKE-L1,PQC,KeyGen,36,0.051618,6392,100%
