Device,Algorithm,Type,Operation,Iteration,Time,MemoryKB,CPU
Raspberri Pi,SLH-DSA-128f,PQC,KeyGen,30,0.002773,5880,99%
Raspberri Pi,SLH-DSA-128f,PQC,Sign,30,0.064051,5880,99%
Raspberri Pi,SLH-DSA-128f,PQC,Verify,30,0.003633,5880,99%
Raspberri Pi,ML-DSA-44,PQC,KeyGen,31,0.005536,5880,100%
Raspberri Pi,ML-DSA-44,PQC,Sign,31,0.000271,5880,100%
Raspberri Pi,ML-DSA-44,PQC,Verify,31,0.000166,5880,100%
Raspberri Pi,Falcon-512,PQC,KeyGen,31,0.017523,5880,100%
Raspberri Pi,Falcon-512,PQC,Sign,31,0.001167,5880,100%
Raspberri Pi,Falcon-512,PQC,Verify,31,0.000132,5880,100%
Raspberri Pi,SLH-DSA-128f,PQC,KeyGen,31,0.002856,5880,100%
Raspberri Pi,SLH-DSA-128f,PQC,Sign,31,0.063997,5880,100%
Raspberri Pi,SLH-DSA-128f,PQC,Verify,31,0.003757,5880,100%
Raspberri Pi,ML-DSA-44,PQC,KeyGen,32,0.008370,5880,99%
Raspberri Pi,ML-DSA-44,PQC,Sign,32,0.000520,5880,99%
Raspberri Pi,ML-DSA-44,PQC,Verify,32,0.000249,5880,99%
Raspberri Pi,Falcon-512,PQC,KeyGen,32,0.030923,5880,99%
Raspberri Pi,Falcon-512,PQC,Sign,32,0.001289,5880,99%
Raspberri Pi,Falcon-512,PQC,Verify,32,0.000169,5880,99%
Raspberri Pi,SLH-DSA-128f,PQC,KeyGen,32,0.004124,5880,99%
Raspberri Pi,SLH-DSA-128f,PQC,Sign,32,0.065436,5880,99%
Raspberri Pi,SLH-DSA-128f,PQC,Verify,32,0.003911,5880,99%
Raspberri Pi,ML-DSA-44,PQC,KeyGen,33,0.005559,5880,100%
Raspberri Pi,ML-DSA-44,PQC,Sign,33,0.000543,5880,100%
Raspberri Pi,ML-DSA-44,PQC,Verify,33,0.000166,5880,100%
Raspberri Pi,Falcon-512,PQC,KeyGen,33,0.018628,5880,100%
Raspberri Pi,Falcon-512,PQC,Sign,33,0.000884,5880,100%
Raspberri Pi,Falcon-512,PQC,Verify,33,0.000115,5880,100%
Raspberri Pi,SLH-DSA-128f,PQC,KeyGen,33,0.002774,5880,100%
Raspberri Pi,SLH-DSA-128f,PQC,Sign,33,0.063909,5880,100%
Raspberri Pi,SLH-DSA-128f,PQC,Verify,33,0.003972,5880,100%
Raspberri Pi,ML-DSA-44,PQC,KeyGen,34,0.005615,5880,100%
Raspberri Pi,ML-DSA-44,PQC,Sign,34,0.000350,5880,100%
Raspberri Pi,ML-DSA-44,PQC,Verify,34,0.000165,5880,100%
Raspberri Pi,Falcon-512,PQC,KeyGen,34,0.022090,5880,100%
Raspberri Pi,Falcon-512,PQC,Sign,34,0.000956,5880,100%
Raspberri Pi,Falcon-512,PQC,Verify,34,0.000119,5880,100%
Raspberri Pi,SLH-DSA-128f,PQC,KeyGen,34,0.002750,5880,100%
Raspberri Pi,SLH-DSA-128f,PQC,Sign,34,0.063934,5880,100%
Raspberri Pi,SLH-DSA-128f,PQC,Verify,34,0.003880,5880,100%
Raspberri Pi,ML-DSA-44,PQC,KeyGen,35,0.005516,5880,98%
Raspberri Pi,ML-DSA-44,PQC,Sign,35,0.000449,5880,98%
Raspberri Pi,ML-DSA-44,PQC,Verify,35,0.000166,5880,98%
Raspberri Pi,Falcon-512,PQC,KeyGen,35,0.022213,5880,98%
Raspberri Pi,Falcon-512,PQC,Sign,35,0.000953,5880,98%
Raspberri Pi,Falcon-512,PQC,Verify,35,0.000118,5880,98%
Raspberri Pi,SLH-DSA-128f,PQC,KeyGen,35,0.002989,5880,98%
Raspberri Pi,SLH-DSA-128f,PQC,Sign,35,0.065750,5880,98%
Raspberri Pi,SLH-DSA-128f,PQC,Verify,35,0.003817,5880,98%
Raspberri Pi,ML-DSA-44,PQC,KeyGen,36,0.005806,5748,98%
Raspberri Pi,ML-DSA-44,PQC,Sign,36,0.000271,5748,98%
Raspberri Pi,ML-DSA-44,PQC,Verify,36,0.000166,5748,98%
Raspberri Pi,Falcon-512,PQC,KeyGen,36,0.032759,5748,98%
Raspberri Pi,Falcon-512,PQC,Sign,36,0.000883,5748,98%
Raspberri Pi,Falcon-512,PQC,Verify,36,0.000114,5748,98%
Raspberri Pi,SLH-DSA-128f,PQC,KeyGen,36,0.002756,5748,98%
Raspberri Pi,SLH-DSA-128f,PQC,Sign,36,0.063887,5748,98%
Raspberri Pi,SLH-DSA-128f,PQC,Verify,36,0.003780,5748,98%
Raspberri Pi,ML-DSA-44,PQC,KeyGen,37,0.005761,5752,99%
Raspberri Pi,ML-DSA-44,PQC,Sign,37,0.000544,5752,99%
Raspberri Pi,ML-DSA-44,PQC,Verify,37,0.000169,5752,99%
Raspberri Pi,Falcon-512,PQC,KeyGen,37,0.027611,5752,99%
Raspberri Pi,Falcon-512,PQC,Sign,37,0.000865,5752,99%
Raspberri Pi,Falcon-512,PQC,Verify,37,0.000114,5752,99%
Raspberri Pi,SLH-DSA-128f,PQC,KeyGen,37,0.002760,5752,99%
Raspberri Pi,SLH-DSA-128f,PQC,Sign,37,0.063858,5752,99%
Raspberri Pi,SLH-DSA-128f,PQC,Verify,37,0.003710,5752,99%
