Device,Algorithm,Type,Operation,Iteration,Time
Laptop,ECDH,Classical,SharedSecret,90,0.000045
Laptop,ECDSA,Classical,Sign,90,0.000100
Laptop,ECDSA,Classical,Verify,90,0.000004
Laptop,ECDH,Classical,KeyGen,91,0.000463
Laptop,ECDH,Classical,SharedSecret,91,0.000047
Laptop,ECDSA,Classical,Sign,91,0.000099
Laptop,ECDSA,Classical,Verify,91,0.000004
Laptop,ECDH,Classical,KeyGen,92,0.000550
Laptop,ECDH,Classical,SharedSecret,92,0.000048
Laptop,ECDSA,Classical,Sign,92,0.000105
Laptop,ECDSA,Classical,Verify,92,0.000004
Laptop,ECDH,Classical,KeyGen,93,0.000466
Laptop,ECDH,Classical,SharedSecret,93,0.000048
Laptop,ECDSA,Classical,Sign,93,0.000110
Laptop,ECDSA,Classical,Verify,93,0.000004
Laptop,ECDH,Classical,KeyGen,94,0.000469
Laptop,ECDH,Classical,SharedSecret,94,0.000045
Laptop,ECDSA,Classical,Sign,94,0.000100
Laptop,ECDSA,Classical,Verify,94,0.000004
Laptop,ECDH,Classical,KeyGen,95,0.000487
Laptop,ECDH,Classical,SharedSecret,95,0.000047
Laptop,ECDSA,Classical,Sign,95,0.000100
Laptop,ECDSA,Classical,Verify,95,0.000004
Laptop,ECDH,Classical,KeyGen,96,0.000458
Laptop,ECDH,Classical,SharedSecret,96,0.000049
Laptop,ECDSA,Classical,Sign,96,0.000104
Laptop,ECDSA,Classical,Verify,96,0.000004
Laptop,ECDH,Classical,KeyGen,97,0.000459
Laptop,ECDH,Classical,SharedSecret,97,0.000045
Laptop,ECDSA,Classical,Sign,97,0.000101
Laptop,ECDSA,Classical,Verify,97,0.000004
Laptop,ECDH,Classical,KeyGen,98,0.000469
Laptop,ECDH,Classical,SharedSecret,98,0.000049
Laptop,ECDSA,Classical,Sign,98,0.000104
Laptop,ECDSA,Classical,Verify,98,0.000004
Laptop,ECDH,Classical,KeyGen,99,0.000457
Laptop,ECDH,Classical,SharedSecret,99,0.000049
Laptop,ECDSA,Classical,Sign,99,0.000103
Laptop,ECDSA,Classical,Verify,99,0.000004
Laptop,ECDH,Classical,KeyGen,100,0.000444
Laptop,ECDH,Classical,SharedSecret,100,0.000063
Laptop,ECDSA,Classical,Sign,100,0.000101
Laptop,ECDSA,Classical,Verify,100,0.000004
